"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.464033910E-1,-2.188050747E-1,5.858421326E-3,4.176273346E-1
1.643077480E-1,-1.633552313E-1,-5.163192749E-2,2.224936485E-1
1.821953830E-1,-2.508091927E-2,-1.165161133E-1,-3.656864166E-3
2.000853980E-1,6.955599785E-2,-1.814432144E-1,-1.721825600E-1
2.179749240E-1,1.801028252E-1,-2.101488113E-1,-1.844305992E-1
2.358659760E-1,8.437466621E-2,-2.308216095E-1,-1.245703697E-1
2.537565400E-1,3.882718086E-2,-1.733188629E-1,1.789569855E-2
2.716466770E-1,-2.251124382E-2,-8.730792999E-2,1.902260780E-1
2.895373020E-1,-5.380380154E-2,-3.321647644E-2,2.944035530E-1
3.074138280E-1,1.390659809E-2,-5.916500092E-2,3.180599213E-1
3.253146450E-1,1.467931271E-2,-6.670951843E-2,2.054934502E-1
3.432079560E-1,1.938259602E-2,-2.842903137E-2,4.192686081E-2
3.610986420E-1,2.875924110E-2,6.027221680E-3,-3.575611115E-2
3.789887180E-1,-3.600287437E-2,2.895736694E-2,-3.061294556E-2
3.968788550E-1,-1.092375517E-1,8.089637756E-2,3.776454926E-2
4.147692970E-1,-5.099034309E-2,2.942276001E-2,2.184104919E-2
4.326598610E-1,1.582145691E-1,-9.830093384E-2,-1.962614059E-2
4.505499360E-1,3.555273414E-1,-2.131204605E-1,1.250886917E-1
4.684402560E-1,4.307650924E-1,-2.832736969E-1,2.243819237E-1
4.863333220E-1,2.509537339E-1,-2.898168564E-1,2.251906395E-1
5.042241910E-1,1.218163967E-1,-2.889299393E-1,2.866625786E-1
5.221113380E-1,6.896293163E-2,-2.558631897E-1,4.251251221E-1
5.400014130E-1,-1.693892479E-2,-2.138433456E-1,4.126071930E-1
5.578917330E-1,1.097095013E-2,-2.082529068E-1,3.206686974E-1
5.757821750E-1,4.417657852E-2,-1.886653900E-1,7.601976395E-2
5.936726780E-1,1.691979170E-1,-1.596240997E-1,-3.283071518E-2
6.115626320E-1,1.804320812E-1,-1.244497299E-1,-4.465341568E-2
6.294530740E-1,1.167735457E-1,-1.507034302E-1,7.036828995E-2
6.473316140E-1,9.021186829E-2,-1.712284088E-1,1.806073189E-1
6.652321260E-1,1.469810009E-1,-1.995677948E-1,3.115148544E-1
6.831209200E-1,1.869967580E-1,-2.288408279E-1,4.087481499E-1
7.010145970E-1,1.858190298E-1,-2.249841690E-1,3.816180229E-1
7.189045510E-1,1.138951182E-1,-1.762409210E-1,2.785978317E-1
7.367949310E-1,6.759941578E-2,-1.350955963E-1,1.939158440E-1
7.546562570E-1,-5.370318890E-2,-8.680057526E-2,2.419261932E-1
7.725753270E-1,-1.353929043E-1,-6.392669678E-2,3.197293282E-1
7.904659520E-1,-1.021521091E-1,-6.982135773E-2,3.539328575E-1
8.083532200E-1,4.412770271E-3,-1.312265396E-1,2.533011436E-1
8.262465310E-1,-9.276139736E-2,-7.718944550E-2,1.788802147E-1
8.441369110E-1,-1.105659008E-1,-4.825210571E-2,1.823778152E-1
8.620273530E-1,-5.989873409E-2,-9.485149384E-2,1.332488060E-1
8.799205410E-1,-1.037663221E-1,-1.144294739E-1,1.072454453E-2
8.978108000E-1,-1.472349167E-1,-1.017036438E-1,-1.028518677E-1
9.156979470E-1,-1.909102201E-1,-8.620738983E-2,-1.527175903E-1
9.335790500E-1,-1.934744120E-1,-4.454135895E-2,-5.449390411E-2
9.514788910E-1,-3.355545998E-1,-9.945869446E-3,-1.630578041E-1
9.693693940E-1,-1.058970690E-1,3.175830841E-2,-3.556118011E-1
9.872592870E-1,1.845214367E-1,-7.445907593E-2,-3.927993774E-1
1.005149607E0,3.385288715E-1,-1.645622253E-1,-2.493269444E-1
1.023039988E0,2.517373562E-1,-1.993703842E-1,4.984378815E-3
1.040930368E0,2.027194500E-1,-1.951837540E-1,2.197718620E-1
1.058820444E0,1.092948914E-1,-1.817150116E-1,2.790327072E-1
1.076710947E0,7.977545261E-2,-1.308155060E-1,2.564420700E-1
1.094601267E0,9.686124325E-2,-1.313505173E-1,3.431267738E-1
1.112491343E0,1.286934614E-1,-2.459115982E-1,3.474969864E-1
1.130369944E0,1.525729895E-1,-2.505140305E-1,2.982072830E-1
1.148260324E0,2.287101746E-2,-1.632022858E-1,3.033761978E-1
1.166151865E0,-4.836261272E-2,-1.174221039E-1,3.014411926E-1
1.184043161E0,-5.747675896E-3,-9.894084930E-2,3.778028488E-1
1.201943613E0,3.146648407E-2,-1.233110428E-1,2.429881096E-1
1.219833384E0,7.443499565E-2,-6.491088867E-2,1.993231773E-1
1.237723825E0,-4.777789116E-2,-2.360820770E-2,9.855604172E-2
1.255614206E0,-1.653248072E-1,9.467124939E-3,1.586117744E-1
1.273504343E0,-8.302998543E-2,-1.682281494E-3,2.663636208E-1
1.291393991E0,-6.480562687E-2,-4.019260406E-2,2.150473595E-1
1.309272348E0,-2.094347477E-1,7.393455505E-2,6.848001480E-2
1.327175303E0,-1.492884159E-1,1.032600403E-1,-1.421527863E-1
1.345065744E0,2.923333645E-2,-1.971817017E-2,-2.198247910E-1
1.362956003E0,2.263211012E-1,-7.509326935E-2,-1.056685448E-1
1.380846445E0,2.063395977E-1,-1.106548309E-1,3.228902817E-2
1.398736826E0,9.512853622E-2,-1.433095932E-1,6.276035309E-2
1.416626963E0,6.484210491E-2,-1.854295731E-1,6.334590912E-2
1.434505320E0,1.216266751E-1,-1.958379745E-1,1.509060860E-1
1.452407663E0,9.290254116E-2,-1.885271072E-1,1.105427742E-1
1.470297983E0,8.555656672E-2,-1.448860168E-1,-4.549264908E-2
1.488188486E0,1.511418819E-1,-2.165985107E-1,-1.363663673E-1
1.506078379E0,2.324963808E-1,-2.415094376E-1,-1.164333820E-1
1.523968943E0,2.593564987E-2,-1.892690659E-1,7.525920868E-3
1.541859385E0,-8.143544197E-2,-1.376752853E-1,9.001922607E-2
1.559749521E0,-1.030797958E-1,-1.278772354E-1,1.029772758E-1
1.577628122E0,-4.020774364E-2,-1.374588013E-1,7.525396347E-2
1.595522593E0,-7.666945457E-3,-1.709461212E-1,6.522846222E-2
1.613426584E0,7.225275040E-2,-1.875972748E-1,8.283329010E-2
1.631299936E0,1.518404484E-1,-1.469316483E-1,1.691327095E-1
1.649190866E0,1.046053767E-1,-1.290464401E-1,1.651368141E-1
1.667081797E0,3.946697712E-2,-8.380031586E-2,7.891702652E-2
1.684970774E0,6.001085043E-2,-6.036090851E-2,8.427953720E-2
1.702860605E0,1.486847997E-1,-1.115379333E-1,1.352305412E-1
1.720758249E0,1.238648891E-1,-1.370649338E-1,2.399201393E-1
1.738643381E0,3.724277020E-2,-1.161680222E-1,2.814083099E-1
1.756545542E0,-5.443060398E-2,-1.644859314E-1,2.681899071E-1
1.774436288E0,-2.869009972E-2,-2.146110535E-1,1.825761795E-1
1.792323679E0,-4.482865334E-2,-2.269201279E-1,9.683656693E-2
1.810205210E0,-9.262466431E-2,-2.194061279E-1,3.220033646E-2
1.828104502E0,-1.084331274E-1,-2.988853455E-1,-1.615123749E-1
1.845995004E0,7.274419069E-2,-3.725519180E-1,-3.549520969E-1
1.863884958E0,2.877914906E-1,-4.946413040E-1,-4.074053764E-1
1.881775339E0,4.128316641E-1,-5.508241653E-1,-3.120975494E-1
1.899665659E0,2.477298975E-1,-4.392766953E-1,-1.375718117E-1
1.917543955E0,-3.182566166E-2,-4.185771942E-1,4.051733017E-2
1.935446299E0,-5.713510513E-2,-3.180704117E-1,2.340188026E-1
1.953336618E0,2.575205564E-1,-1.594324112E-1,1.685714722E-1
1.971224252E0,5.540518761E-1,1.060390472E-2,9.014320374E-2
1.989117441E0,1.706933379E-1,2.330303192E-2,2.108058929E-1
2.007010507E0,1.147066355E-1,5.365839005E-1,4.253120422E-1
2.024897715E0,-8.490374088E-1,4.413776398E-1,4.260578156E-1
2.042788034E0,-2.630904913E-1,9.914083481E-1,6.198978424E-1
2.060678415E0,-3.873364925E-1,5.444526672E-1,4.755921364E-1
2.078568796E0,-1.790518761E-1,3.304185867E-1,3.894081116E-1
2.096444406E0,-1.418528557E-1,7.114410400E-2,4.007463455E-1
2.114352487E0,-1.562236547E-1,-2.919578552E-2,4.202041626E-1
2.132239634E0,-1.674516201E-1,-8.924770355E-2,4.080166817E-1
2.150130136E0,3.129720688E-3,-2.440872192E-1,3.820848465E-1
2.168020517E0,8.739268780E-2,-3.284091949E-1,3.398108482E-1
2.185910593E0,4.492223263E-2,-4.385080338E-1,1.677675247E-1
2.203801218E0,8.068096638E-2,-5.046958923E-1,1.619586945E-1
2.221677622E0,9.078431129E-2,-5.655422211E-1,2.743520737E-1
2.239581492E0,3.319100142E-1,-4.298038483E-1,4.170184135E-1
2.257463816E0,2.170608044E-1,-5.797834396E-1,2.592639923E-1
2.275359323E0,1.388407946E-1,-5.513525009E-1,9.105825424E-2
2.293252573E0,-2.243560553E-1,-1.032691002E0,-3.183174133E-2
2.311142710E0,2.541089058E-2,-4.160833359E-1,4.833683968E-1
2.329033457E0,1.355994940E-1,-7.351264954E-1,4.691219330E-1
2.346920847E0,7.618243098E-1,-4.113531113E-1,4.371707439E-1
2.364814280E0,-7.640123367E-3,-8.590888977E-2,3.608195782E-1
2.382704111E0,-7.924768925E-1,-6.669330597E-2,-1.636812687E-1
2.400594736E0,-4.946962595E-1,4.921913147E-2,-9.533340931E-1
2.418484873E0,3.979669809E-1,9.357643127E-2,-1.371020794E0
2.436374277E0,1.515284061E0,7.115936279E-2,-3.018231392E-1
2.454265024E0,9.663054943E-1,-1.310138702E-1,-2.713453770E-1
2.472153452E0,6.335669756E-1,-5.730524063E-1,-1.309905052E0
2.490046091E0,1.718606114E0,-1.667941093E0,-2.722486734E0
2.507936716E0,1.113286734E0,-1.612056732E0,-1.050544024E0
2.525826792E0,2.662481070E-1,-4.544029236E-1,1.113471031E0
2.543717234E0,-1.359364510E0,5.099868774E-1,1.984675884E0
2.561611277E0,-1.426545262E0,-1.631105900E0,2.189870834E0
2.579497751E0,6.484817266E-1,-3.067918301E0,1.537327766E0
2.597373605E0,2.150414467E0,-2.818881035E0,1.279989243E0
2.615275522E0,2.357136250E0,-3.573387623E0,-2.479653358E-1
2.633168894E0,2.394399881E0,-2.926073074E0,-2.261358261E0
2.651059336E0,2.950135469E0,-3.043010712E0,-4.956461906E0
2.668949656E0,2.378206968E0,-4.160682201E0,-6.303462982E0
2.686839792E0,1.422492266E0,-4.619488716E0,-4.175901413E0
2.704730234E0,1.486774445E0,-4.196754456E0,-3.096134186E0
2.722620554E0,1.815121889E0,-5.520593643E0,-1.515098572E0
2.740510996E0,2.436896563E-1,-5.290079594E0,6.633710861E-2
2.758401255E0,-2.526512146E-1,-4.159519196E0,-1.986668110E0
2.776291452E0,-4.738888741E-1,-3.612405062E0,-4.045428276E0
2.794184091E0,-7.772791386E-1,-2.990150213E0,-3.840099335E0
2.812075265E0,-5.730443001E-1,-2.954243660E0,-1.661635876E0
2.829962595E0,-4.449017048E-1,-2.781751156E0,-2.389335632E-1
2.847853037E0,-1.034028292E0,-2.390039206E0,-5.815391541E-1
2.865743113E0,-1.610190153E0,-2.325567722E0,-9.842729568E-1
2.883629648E0,-2.152490139E0,-1.662020087E0,-1.810830116E0
2.901523935E0,-1.851615429E0,-5.227868557E-1,-1.854126930E0
2.919414011E0,-1.372361183E0,-1.614284515E-1,-8.116493225E-1
2.937304514E0,-1.778264999E0,-5.115375519E-1,8.493051529E-1
2.955193979E0,-2.745900154E0,-4.689289033E-1,1.558809280E0
2.973079538E0,-3.242280483E0,-5.553376079E-1,1.589309216E0
2.990975534E0,-3.194386482E0,-4.599436522E-1,1.296580791E0
3.008865915E0,-3.351243496E0,-3.512874842E-1,1.178627968E0
3.026756052E0,-3.941877842E0,-6.551280022E-1,1.459456444E0
3.044646494E0,-5.211575031E0,-1.210407019E0,2.299705029E0
3.062536814E0,-6.070013523E0,-1.488917828E0,3.344728947E0
3.080428232E0,-5.531839848E0,-1.881915331E0,4.173111916E0
3.098305796E0,-5.303630829E0,-1.502486706E0,5.203693867E0
3.116204660E0,-5.821456909E0,-9.076113701E-1,6.456516743E0
3.134098093E0,-5.486726761E0,-1.052039146E0,6.734693050E0
3.151988474E0,-4.926614285E0,-1.363001823E0,5.799284935E0
3.169878794E0,-3.475091934E0,-9.725680351E-1,4.754196167E0
3.187757761E0,-2.261495113E0,-4.390521049E-1,3.837705612E0
3.205659433E0,-1.277822971E0,-5.474414825E-1,2.774689198E0
3.223552987E0,-7.545609474E-1,-6.292839050E-1,1.451993942E0
3.241440439E0,-9.293699265E-1,-8.909215927E-1,5.948796272E-1
3.259327524E0,-1.202527046E0,-6.812658310E-1,-3.049874306E-2
3.277220713E0,-9.429674149E-1,-8.071656227E-1,-2.591712475E-1
3.295111338E0,-6.902427673E-1,-1.029425621E0,1.989502907E-1
3.313001475E0,-6.135759354E-1,-9.962368011E-1,8.764381409E-1
3.330891733E0,-1.704017639E0,-8.495283127E-1,-2.382087708E-2
3.348782419E0,9.151840210E-2,-1.378965378E0,-1.583223343E-1
3.366672251E0,-5.152988434E-1,2.637643814E-1,-4.717528820E-1
3.384553537E0,2.017241001E0,-1.622467041E-1,-8.621914387E-1
3.402453318E0,2.602092743E0,-4.938745499E-2,1.774423122E-1
3.420331736E0,2.937692642E0,-3.190612793E-1,-3.263430595E-1
3.438233896E0,-1.060932159E0,1.255736828E0,-1.243011713E0
3.456124216E0,-1.099244118E0,9.430494308E-1,-5.967453718E-1
3.474014353E0,8.151274681E0,6.304078102E-1,7.809863091E0
3.491904734E0,-4.248813152E0,1.967334747E0,-1.166315079E0
3.509795542E0,-3.576796055E0,-1.087574959E-1,-2.263786316E0
3.527673838E0,-2.034145832E0,1.495423317E-1,-3.029496670E0
3.545575876E0,-1.154279709E-1,-9.219932556E-2,-2.182453632E0
3.563466196E0,2.159075737E-1,-7.801580429E-2,-7.248684168E-1
3.581356699E0,4.907650948E-1,1.100570679E0,1.199387550E0
3.599250009E0,1.092959404E0,2.245132685E0,4.772072792E0
3.617125986E0,4.449100971E0,3.599020481E0,4.598515511E0
3.635015818E0,6.200227737E0,3.311549902E0,8.290562630E0
3.652917856E0,3.429781914E0,1.747674942E0,1.349201441E0
3.670808298E0,6.109051704E-1,-7.583999634E-1,-4.846267700E-1
3.688698679E0,-1.273411751E0,-1.425448895E0,-1.391148090E0
3.706588816E0,-1.918848038E0,-1.931764603E0,-6.675970554E-1
3.724483835E0,-7.628746033E-1,-1.733117580E0,-1.113797903E0
3.742369577E0,1.378990650E0,-9.582433701E-1,-1.655850172E0
3.760263620E0,4.527254105E-1,-1.515188217E-1,-3.954136372E-1
3.778147653E0,-1.667308807E-1,1.244764328E-1,3.542548418E-1
3.796040537E0,-7.956180573E-1,1.925396919E-1,2.505427599E-1
3.813933786E0,-1.205300808E0,-5.744194984E-1,2.615359783E0
3.831821421E0,2.699413300E-1,2.348818779E-1,5.205503941E0
3.849714915E0,1.791048527E0,4.569973946E-1,1.916888714E0
3.867590830E0,2.742053986E0,5.953311920E-1,4.957421720E-1
3.885487497E0,3.533897400E0,1.047521591E0,2.918978631E-1
3.903382761E0,3.604957581E0,9.622240067E-1,-5.706763268E-2
3.921273142E0,2.607709408E0,8.602218628E-1,-3.011072636E0
3.939163218E0,4.530997276E-1,8.004088402E-1,-7.229472637E0
3.957053659E0,-5.703687668E-2,5.677738190E-1,-8.910400391E0
3.974944040E0,6.276812553E-1,2.379894257E-2,-6.536303520E0
3.992834421E0,-1.630023956E0,-6.365137100E-1,-3.891026974E-1
4.010721872E0,-3.778173447E0,-1.261134624E0,8.802931786E0
4.028615183E0,-1.146400928E0,2.780890465E-1,5.678865433E0
4.046505259E0,-1.480746269E0,-1.301813126E-2,2.898695946E0
4.064383982E0,-1.384282112E0,-1.462277889E0,8.994935751E-1
4.082274546E0,-1.323981285E0,-3.298435211E0,-6.043461800E0
4.100161447E0,8.237571716E-1,-2.023973942E0,-3.518104553E-3
4.118052316E0,4.336156845E-1,-3.097128868E-1,-5.107589960E-1
4.135957224E0,1.805653572E-1,1.138936996E0,-2.431279421E-1
4.153847361E0,1.392759800E0,1.294314861E0,9.727463722E-1
4.171737681E0,1.966851711E0,2.825117111E-1,1.421642303E-2
4.189628367E0,-9.986543655E-1,-2.152393818E0,-3.987648487E-1
4.207506540E0,-7.164664268E-1,-2.263455391E0,2.575073242E-1
4.225406320E0,4.904170036E-1,-4.624347687E-1,7.414925098E-1
4.243299204E0,7.837228775E-1,-5.623431206E-1,-3.241512775E-1
4.261177744E0,6.680140495E-1,-4.927988052E-1,-6.159714460E-1
4.279079966E0,-6.747436523E-2,-5.141987801E-1,-3.092862368E-1
4.296967539E0,-4.252319336E-1,-1.524590015E0,-9.061419964E-2
4.314863717E0,8.139486313E-1,-1.183903694E0,2.344214916E-1
4.332750925E0,4.538714409E0,-2.075510025E-1,3.648312092E-1
4.350642404E0,6.270954132E0,5.620841980E-1,1.004468441E0
4.368519907E0,1.125538540E1,3.391350269E0,1.648229122E0
4.386410410E0,-4.353366852E0,8.643636703E-1,-1.906637430E0
4.404301035E0,-7.769357681E0,-3.771467209E-1,-4.304749012E0
4.422199716E0,-5.937909126E0,5.247421265E-1,6.502836943E-1
4.440093271E0,-2.964304924E0,1.441530228E0,-1.030131102E0
4.457982065E0,6.907043457E-1,3.061424255E0,-8.588933945E-1
4.475875193E0,9.320948124E-1,3.698984146E0,-2.373933792E-1
4.493764048E0,4.501323700E-1,1.708509922E0,-1.649271250E-1
4.511649363E0,2.702143192E-1,-3.317451477E-1,-4.328362942E-1
4.529544748E0,9.397926331E-1,-1.162767410E0,1.514192939E0
4.547431345E0,2.969820499E-1,2.422889709E0,2.186988354E0
4.565325205E0,-6.924245358E-1,5.881008148E0,1.918068409E0
4.583216074E0,2.976100445E-1,-3.225898743E-1,6.959018111E-2
4.601109140E0,2.267262697E0,-4.863691330E0,-4.033182621E0
4.618983408E0,5.024435520E-1,-4.276495934E0,3.896108270E-1
4.636886972E0,-3.970305443E0,-8.667006493E0,1.711079597E0
4.654765329E0,2.361080647E0,-6.472422600E0,1.330057740E0
4.672656199E0,-3.289132118E-1,-1.921768188E0,1.007734895E0
4.690546640E0,-4.663763046E-1,1.553358555E0,-1.057339549E0
4.708437510E0,-9.235658646E-1,6.005010605E-1,-1.197898746E0
4.726327340E0,2.897866964E-1,1.019483566E0,-6.775141358E-1
4.744218637E0,6.801557541E-2,9.747190475E-1,1.185023069E0
4.762108957E0,5.353525877E-1,-3.684711456E-2,-8.064771295E-1
4.779999338E0,5.177295208E-1,-4.417858124E-1,-2.865169346E-1
4.797890391E0,6.306552887E-1,-2.970638275E-1,4.438388944E-1
4.815779429E0,1.020103455E0,-3.447389603E-1,4.395899177E-1
4.833669260E0,7.773525715E-1,-3.824777603E-1,2.372499704E-1
4.851559946E0,3.730342388E-1,4.091320038E-1,-2.136103064E-2
4.869450571E0,-1.848474741E0,5.892682076E0,1.229905605E0
4.887341257E0,6.952013969E-1,-4.228992462E-1,-4.883991778E-1
4.905235178E0,8.127818108E-1,-1.712093353E-1,7.656885386E-1
4.923124704E0,8.447885513E-3,1.305152893E0,-2.640023828E-1
4.941013010E0,2.721076012E-1,1.362797737E0,-1.120122910E0
4.958903452E0,-1.811435223E-1,2.473021984E0,-3.990156651E-1
4.976793772E0,-3.680202961E-1,3.815334797E0,-1.932954788E-1
4.994684519E0,8.879029751E-1,4.266203403E0,-7.541527748E-1
5.012573862E0,1.702791214E0,4.003726006E0,-1.388214231E0
5.030463328E0,1.536957026E0,3.766682625E0,-1.499959707E0
5.048352670E0,1.912496209E0,2.188887119E0,6.412211657E-1
5.066244761E0,1.878406525E0,4.744338989E-1,1.125359178E0
5.084134775E0,3.530660391E0,2.331274033E0,-8.339843750E-1
5.102039010E0,4.498424530E0,2.870383263E0,-4.251047969E-1
5.119914438E0,5.469894409E0,2.531345367E0,6.798321009E-2
5.137816904E0,5.234454632E0,4.381338120E0,-2.009456158E0
5.155704416E0,-3.770195007E0,-1.298251915E1,-3.899804652E-1
5.173585398E0,-1.470296669E1,-1.889854813E1,4.301925182E0
5.191487986E0,-9.942296028E0,-6.069983482E0,-2.295506001E0
5.209378672E0,-1.671943426E0,-1.510987282E0,-6.352852345E0
5.227268564E0,2.768404961E0,-1.472290993E0,-2.596659660E0
5.245158945E0,5.362940788E0,-2.218569756E0,1.188443422E0
5.263049509E0,7.355393887E0,-1.048259735E0,3.904664993E0
5.280939646E0,2.348048687E0,6.238136292E-1,2.624958038E0
5.298830027E0,-1.362581551E-1,9.185199738E-1,3.901015520E-1
5.316720408E0,-2.317416430E0,3.768510818E-1,-3.980096579E-1
5.334610788E0,-1.953549862E0,-2.915019989E-1,-9.780364633E-1
5.352501169E0,-7.891441584E-1,-7.270326614E-1,-8.087514043E-1
5.370394601E0,-3.174632490E-1,-1.277798653E0,3.798469305E-1
5.388281931E0,-3.895747066E-1,-1.900593758E0,1.159669757E0
5.406160349E0,-5.038713813E-1,-1.313220978E0,6.288987994E-1
5.424062693E0,-2.322465181E-2,1.141262054E-2,-1.733082235E-1
5.441953196E0,5.704351068E-1,9.997243881E-1,-6.170256138E-1
5.459843515E0,6.947764754E-1,7.514104843E-1,-2.478866279E-1
5.477733896E0,5.469379425E-1,-2.230396271E-1,4.182169437E-1
5.495623544E0,5.326622725E-1,-9.899787903E-1,4.611232877E-1
5.513514658E0,6.122667789E-1,-7.084932327E-1,6.284072995E-1
5.531392527E0,1.195880651E0,3.212308884E-1,4.454099536E-1
5.549295420E0,-3.768750429E-1,1.029974937E0,-3.182941079E-1
5.567186349E0,-1.087749481E0,2.052012444E0,2.066637278E-1
5.585075998E0,-1.321770668E0,7.707748413E-1,-1.216086224E-1
